Unnamed: 0,title,link,snippet,Renewable,hydrogen,USD,dollars,billion,million
14,UK shoots for the stars as space-based solar power prepares for lift ...,https://www.gov.uk/government/news/uk-shoots-for-the-stars-as-space-based-solar-power-prepares-for-lift-off,"Jun 13, 2023 ... London Tech Week will see Energy Security Secretary Grant Shapps announce £4.3 million government funding to develop cutting-edge ...",1,0,0,0,2,9
15,UK government's view on greenhouse gas removal technologies ...,https://www.gov.uk/government/publications/geo-engineering-research-the-government-s-view/uk-governments-view-on-greenhouse-gas-removal-technologies-and-solar-radiation-management,"May 4, 2020 ... Greenhouse Gas Removal ( GGR ) and Solar Radiation Management ( SRM ) are terms describing a range of technologies that aim to counteract ...",0,0,0,0,0,4
17,UK to provide £217 million for Turkish solar project - GOV.UK,https://www.gov.uk/government/news/uk-to-provide-217-million-for-turkish-solar-project,"Nov 15, 2021 ... UK Export Finance and GE Energy Financial Services announce agreement reached to finance the largest solar facility in Turkey, ...",16,0,0,0,1,12
18,Space based solar power: de-risking the pathway to net zero - GOV ...,https://www.gov.uk/government/publications/space-based-solar-power-de-risking-the-pathway-to-net-zero,"Sep 27, 2021 ... An independent study into the technical feasibility, cost and economics of space based solar power (SBSP), as a novel generation technology ...",0,1,0,0,0,0
20,Renewable Energy Planning Database: quarterly extract - GOV.UK,https://www.gov.uk/government/publications/renewable-energy-planning-database-monthly-extract,The Renewable Energy Planning Database ( REPD ) tracks the progress of UK renewable electricity projects over 150kW through the planning system.,52,0,0,0,0,0
21,Renewable Transport Fuel Obligation - GOV.UK,https://www.gov.uk/guidance/renewable-transport-fuels-obligation,"Nov 5, 2012 ... How do I register? RTFO guidance; Carbon calculator; Data on renewable fuel supply; Voluntary sustainability schemes; RTFO updates; Legislation ...",33,0,0,0,0,0
22,Regional Renewable Statistics - GOV.UK,https://www.gov.uk/government/statistics/regional-renewable-statistics,The following tables show a variety of renewable electricity data for the devolved administrations and the regions of England.,14,0,0,0,0,0
23,Digest of UK Energy Statistics (DUKES): renewable sources of ...,https://www.gov.uk/government/statistics/renewable-sources-of-energy-chapter-6-digest-of-united-kingdom-energy-statistics-dukes,DUKES chapter 6: statistics on energy from renewable sources.,17,0,0,0,0,0
24,2010 to 2015 government policy: low carbon technologies - GOV.UK,https://www.gov.uk/government/publications/2010-to-2015-government-policy-low-carbon-technologies/2010-to-2015-government-policy-low-carbon-technologies,"To increase and accelerate the use of renewable energy in the UK, we have introduced: Renewables Obligation (RO) – provides incentives for large-scale renewable ...",102,0,0,0,4,7
25,Renewable fuel statistics - GOV.UK,https://www.gov.uk/government/collections/renewable-fuel-statistics,"Aug 9, 2023 ... The supply of renewable fuel (commonly referred to as biofuel) is measured annually as required under the Renewable Transport Fuel ...",40,0,0,0,0,0
26,Renewable and low carbon energy - GOV.UK,https://www.gov.uk/guidance/renewable-and-low-carbon-energy,Guidance to help local councils in developing policies for renewable and low carbon energy and identifies the planning considerations.,42,0,0,0,0,0
27,UK renewable energy roadmap: 2011 - GOV.UK,https://www.gov.uk/government/publications/renewable-energy-roadmap,"Jan 28, 2013 ... The roadmap builds on the actions already underway: financial support mechanisms for renewables, the Green Investment Bank to help companies ...",6,0,0,0,0,0
28,UK renewable energy roadmap - GOV.UK,https://www.gov.uk/government/collections/uk-renewable-energy-roadmap,"Nov 5, 2013 ... The Renewable energy roadmap, published in 2011 sets out how the UK will reach the goal of generating 15% of UK energy use from renewables ...",9,0,0,0,0,0
29,[Withdrawn] Renewable Heat Premium Payment scheme - GOV.UK,https://www.gov.uk/guidance/renewable-heat-premium-payment-scheme,The Renewable Heat Premium Payment (RHPP) scheme is now closed. Householders can now apply for the domestic RHI scheme which launched on 9 April 2014.,12,0,0,0,0,0
30,Department for Energy Security and Net Zero - GOV.UK,https://www.gov.uk/government/organisations/department-for-energy-security-and-net-zero,Solar PV deployment: September 2024. 20 October 2023. See all latest documents. Subscriptions. Get emails. What we do. Securing our long-term energy supply ...,0,2,0,0,0,0
32,Statistics at DESNZ - Department for Energy Security and Net Zero ...,https://www.gov.uk/government/organisations/department-for-energy-security-and-net-zero/about/statistics,Annual publications and data on the UK's greenhouse gas emissions used to monitor progress against international and domestic climate change targets: UK ...,3,0,0,0,0,0
35,About us - Department for Energy Security and Net Zero - GOV.UK,https://www.gov.uk/government/organisations/department-for-energy-security-and-net-zero/about,"For 2023, our priorities will be: 1. Ensure security of energy supply this winter, next winter and in the longer-term – bringing down energy bills and ...",0,1,0,0,0,0
