ID,Code_Region,Country,name,Type,description,Link
46,AUNZ,New Zealand,Ministry of Transport,Governmental Entities (Central/Federal),responsible for regulating transportation fuels and emissions,transport.govt.nz
47,AUNZ,New Zealand,New Zealand Oil and Gas,Sector-Specific Entities,responsible for exploration and production of oil and gas resources,motnets.co.nz
48,AUNZ,New Zealand,Energy Trusts of New Zealand,Industry and Professional Associations,represents electricity trusts across the country,etnz.org.nz
49,AUNZ,New Zealand,Consumer NZ,NGOs and Civil Society,represents consumer interests in the energy sector,consumer.org.nz
50,AUNZ,New Zealand,Sustainable Business Council,NGOs and Civil Society,promotes sustainable business practices in the energy sector,sbc.org.nz
51,AUNZ,New Zealand,Greenpeace New Zealand,NGOs and Civil Society,advocates for renewable energy and climate action,courtsofnz.govt.nz
52,AUNZ,New Zealand,New Zealand Wind Energy Association (NZWEA),Industry and Professional Associations,promotes the development of wind energy resources,windenergy.org.nz
53,AUNZ,New Zealand,Sustainable Electricity Association of New Zealand (SEANZ),NGOs and Civil Society,promotes sustainable and renewable energy solutions,seanz.org.nz
54,AUNZ,New Zealand,Federated Farmers,NGOs and Civil Society,represents the interests of farmers in energy policy and regulation,fedfarm.org.nz
55,AUNZ,New Zealand,Energy Efficiency Council,NGOs and Civil Society,promotes energy efficiency in the commercial and industrial sectors,environment.govt.nz
56,AUNZ,New Zealand,New Zealand Planning Institute,NGOs and Civil Society,promotes sustainable and efficient land use planning,planning.org.nz
57,AUNZ,New Zealand,New Zealand Green Building Council,NGOs and Civil Society,promotes green building practices in the construction industry,nzgbc.org.nz
58,AUNZ,New Zealand,New Zealand Geographic Board,Governmental Entities (Central/Federal),responsible for naming and defining geographical areas for energy exploration and development,linz.govt.nz
59,BRAZIL,Brazil,Brazilian Energy Ministry,Governmental Entities,Responsible for energy policy and regulation in Brazil,epe.gov.br
60,BRAZIL,Brazil,ANEEL (National Electric Energy Agency),Regulatory and Advisory Entities,Regulates and supervises the electricity sector in Brazil,portal.apexbrasil.com.br
61,BRAZIL,Brazil,IBGE (Brazilian Institute of Geography and Statistics),"Research, Education and Development Institutions",Responsible for collecting and disseminating energy statistics in Brazil,ibge.gov.br
62,BRAZIL,Brazil,Eletrobras,DSO,Largest electricity distribution company in Brazil,energiaeambiente.org.br
63,BRAZIL,Brazil,Petrobras,IPP,State-owned oil and gas company in Brazil,petrobras.com.br
64,BRAZIL,Brazil,MME (Ministry of Mines and Energy),Governmental Entities,Responsible for overall energy planning and development in Brazil,epe.gov.br
65,BRAZIL,Brazil,CCEE (Electric Energy Commercialization Chamber),Commercial Entities,Manages the wholesale electricity market in Brazil,ccee.org.br
66,BRAZIL,Brazil,IBAMA (Brazilian Institute of Environment and Renewable Natural Resources),Regulatory and Advisory Entities,Responsible for environmental regulation in the energy sector in Brazil,abc.gov.br
67,BRAZIL,Brazil,FINEP (Studies and Projects Financing Agency),Financial and Funding Entities,Provides funding for energy research and development in Brazil,finep.gov.br
68,BRAZIL,Brazil,"INMETRO (National Institute of Metrology, Quality and Technology)",Regulatory and Advisory Entities,Responsible for setting energy efficiency standards in Brazil,gcalaw.com.br
69,BRAZIL,Brazil,ABC (Brazilian Climate Change Forum),Non-Governmental Organizations and Civil Society,Promotes sustainable energy practices in Brazil,gov.br
70,BRAZIL,Brazil,ABRAPCH (Brazilian Association of Small Hydroelectric Plants),Industry and Professional Associations,Represents small hydroelectric plants in Brazil,abrapch.org.br
71,BRAZIL,Brazil,FUNCEF (Brazilian National Fund for Rural Electrification),Rural Electrification Agency,Provides funding for rural electrification projects in Brazil,abvcap.com.br
72,BRAZIL,Brazil,"ANP (National Agency of Petroleum, Natural Gas, and Biofuels)",Regulatory and Advisory Entities,Regulates the oil and gas sector in Brazil,gov.br
73,BRAZIL,Brazil,ABEEólica (Brazilian Wind Energy Association),Industry and Professional Associations,Promotes wind energy development in Brazil,abeeolica.org.br
74,BRAZIL,Brazil,ONS (National Electric System Operator),TSO,Responsible for operating and coordinating the national grid in Brazil,demarest.com.br
75,BRAZIL,Brazil,- Confederação Nacional da Indústria (National Confederation of Industry),Industry and Professional Associations,"Represents the interests of Brazilian industries, including the energy sector",portaldaindustria.com.br
76,BRAZIL,Brazil,World Bank,International Entities,Provides funding and support for energy projects in Brazil,fundacaolemann.org.br
77,BRAZIL,Brazil,Greenpeace Brazil,Non-Governmental Organizations and Civil Society,Advocates for renewable energy and sustainable practices in Brazil,greenpeace.org.br
78,BRAZIL,Brazil,Huawei Brazil,Commercial Entities,Provides technology and solutions for the energy sector in Brazil.,cebc.org.br
79,CAN,Canada,1) Natural Resources Canada,Governmental Entities,Oversees energy policy and regulations at the federal level.,natural-resources.canada.ca
80,CAN,Canada,2) National Energy Board,Governmental Entities,"Regulates pipelines, energy development and trade at the federal level.",laws-lois.justice.gc.ca
81,CAN,Canada,3) Canadian Nuclear Safety Commission,Governmental Entities,Regulates and promotes the safe use of nuclear energy.,nuclearsafety.gc.ca
82,CAN,Canada,4) Canadian Energy Efficiency Alliance,NGOs and Civil Society,Advocates for energy efficiency policies and programs.,natural-resources.canada.ca
83,CAN,Canada,5) Canadian Energy Research Institute,"Research, Education, and Development Institutions",Conducts research on energy economics and policy.,natural-resources.canada.ca
84,CAN,Canada,6) Clean Energy Canada,NGOs and Civil Society,Promotes the transition to clean energy in Canada.,greenjobsforum.ca
85,CAN,Canada,7) Canadian Association of Petroleum Producers,Industry and Professional Associations,Represents the upstream oil and gas industry.,capp.ca
86,CAN,Canada,8) Canadian Wind Energy Association,Industry and Professional Associations,Promotes the development of wind energy in Canada.,renewablesassociation.ca
87,CAN,Canada,9) Canadian Solar Industries Association,Industry and Professional Associations,Represents the solar energy industry in Canada.,cansia.ca
88,CAN,Canada,10) Canadian Electricity Association,Industry and Professional Associations,Represents electricity distribution companies in Canada.,electricity.ca
89,CAN,Canada,11) Power Workers' Union,Industry and Professional Associations,Represents workers in the electricity industry.,pwu.ca
90,CAN,Canada,12) Indigenous Clean Energy,NGOs and Civil Society,Supports the development of renewable energy projects led by Indigenous communities.,canada.ca
91,CAN,Canada,13) Export Development Canada,Financial and Funding Entities,Provides financing and insurance to Canadian companies involved in the energy sector.,edc.ca
92,CAN,Canada,14) Alberta Energy Regulator,Governmental Entities,Regulates the development of energy resources in the province of Alberta.,aer.ca
93,CAN,Canada,15) BC Utilities Commission,Governmental Entities,Regulates electricity and natural gas utilities in British Columbia.,bclaws.gov.bc.ca
94,CAN,Canada,16) Saskatchewan Ministry of Energy and Resources,Governmental Entities,Develops and implements energy policies in the province of Saskatchewan.,saskatchewan.ca
95,CAN,Canada,17) Association of Power Producers of Ontario,Industry and Professional Associations,Represents electricity generators and suppliers in Ontario.,cer-rec.gc.ca
96,CAN,Canada,18) Efficiency Nova Scotia,Local/Regional/Municipal Government Entities,Promotes energy efficiency and conservation in Nova Scotia.,efficiencyns.ca
97,CAN,Canada,19) Quebec Ministry of Energy and Natural Resources,Governmental Entities,Regulates and manages energy resources in the province of Quebec.,natural-resources.canada.ca
98,CAN,Canada,20) Northern Territories Power Corporation,Commercial Entities,"Provides electricity to communities in the Yukon, Northwest Territories, and Nunavut.",sencanada.ca
99,CASP,Armenia,#NAME?,Governmental Entities,Responsible for energy policy and regulation,parliament.am
100,CASP,Armenia,#NAME?,TSO,Responsible for electricity transmission and distribution,azatutyun.am
101,CASP,Armenia,#NAME?,IPP,Operates the only nuclear power plant in Armenia,cse.aua.am
102,CASP,Armenia,#NAME?,Governmental Entities,Responsible for oil and gas regulations in the aviation sector,president.am
103,CASP,Armenia,#NAME?,Regulatory and Advisory Entities,Sets tariffs and oversees energy market activities,uic.am
104,CASP,Armenia,#NAME?,"Research, Education, and Development Institutions",Conducts research and training in energy-related fields,expo.am
105,CASP,Armenia,#NAME?,International Entities,Supports sustainable development of Armenia's energy sector,nature-ic.am
106,CASP,Armenia,#NAME?,Financial and Funding Entities,Provides loans and grants for renewable energy projects,r2e2.am
107,CASP,Armenia,#NAME?,International Entities,Provides financing and technical assistance for energy-related projects in Armenia,cba.am
108,CASP,Armenia,#NAME?,Governmental Entities,Collects and publishes energy statistics,un.mfa.am
109,CASP,Armenia,#NAME?,NGOs and Civil Society,Promotes sustainable rural energy solutions,card.am
110,CASP,Armenia,#NAME?,Industry and Professional Associations,Represents wind energy companies in Armenia,ebrd.am
111,CASP,Armenia,#NAME?,IPP,Operates a thermal power plant in the capital city,azatutyun.am
112,CASP,Armenia,#NAME?,NGOs and Civil Society,Advocates for environmental protection and sustainable energy use,en.armradio.am
113,CASP,Armenia,#NAME?,Financial and Funding Entities,Provides loans and investments for energy projects,cba.am
114,CASP,Armenia,#NAME?,International Entities,Coordinates energy policies and projects among member countries,mfa.am
115,CASP,Armenia,#NAME?,Industry and Professional Associations,Promotes knowledge exchange and cooperation in the electric power sector.,
116,CASP,Azerbaijan,Ministry of Energy,Governmental Entities (Central/Federal),In charge of overall energy policy and planning in Azerbaijan.,minenergy.gov.az
117,CASP,Azerbaijan,the State Oil Company of Azerbaijan Republic (SOCAR),Governmental Entities (Central/Federal),"Responsible for oil and gas exploration, production, and transportation.",socar.az
118,CASP,Azerbaijan,Azerenergy,TSO,"Responsible for electricity generation, transmission, and distribution.",minenergy.gov.az
119,CASP,Azerbaijan,Bakielektrikshebeke,DSO,"Responsible for electricity distribution in Baku, the capital city of Azerbaijan.",en.trend.az
120,CASP,Azerbaijan,Azerigaz,DSO,Responsible for natural gas distribution.,socar.az
121,CASP,Azerbaijan,Azerbaijan National Academy of Sciences (ANAS),"Research, Education, and Development Institutions",Conducts scientific research in energy-related fields.,science.gov.az
122,CASP,Azerbaijan,Azerbaijan State Oil and Industry University (ASOIU),"Research, Education, and Development Institutions",Provides education and training in the oil and gas industry.,asoiu.edu.az
123,CASP,Azerbaijan,Azerbaidzhanskaya Gosudarstvennaya Neftyanyaya Akademiya (AGNA),"Research, Education, and Development Institutions",Provides education and training in the oil and gas industry.,
124,CASP,Azerbaijan,the Institute of Geology,"Research, Education, and Development Institutions",Conducts research on oil and gas reserves.,science.gov.az
125,CASP,Azerbaijan,Azerenergy Scientific-Research and Design Institute (ASRDI),"Research, Education, and Development Institutions",Conducts research and design for energy infrastructure.,
126,CASP,Azerbaijan,"the State Committee for Standardization, Metrology, and Patents",Regulatory and Advisory Entities,Sets standards and regulations for the energy sector in Azerbaijan.,metrology.az
127,CASP,Azerbaijan,the Ministry of Ecology and Natural Resources,Regulatory and Advisory Entities,Responsible for environmental regulations related to the energy sector.,meteo.az
128,CASP,Azerbaijan,the State Energy Regulatory Commission,Regulatory and Advisory Entities,Responsible for overseeing the electricity and natural gas markets in Azerbaijan.,minenergy.gov.az
129,CASP,Azerbaijan,Regional and Municipal Administrations,Local/Regional/Municipal Government Entities,Responsible for electricity and gas distribution in specific regions and municipalities.,icmal.az
130,CASP,Azerbaijan,Azerbaijan State Oil Academy,"Research, Education, and Development Institutions",Provides education and training in the oil and gas industry.,asoiu.edu.az
131,CASP,Azerbaijan,Renewable Energy and Energy Efficiency Agency,Regulatory and Advisory Entities,Promotes and regulates renewable energy and energy efficiency in Azerbaijan.,minenergy.gov.az
132,CASP,Azerbaijan,Center for Alternative and Renewable Energy,"Research, Education, and Development Institutions",Conducts research on and promotes the use of renewable energy sources.,minenergy.gov.az
133,CASP,Azerbaijan,the National Confederation of Entrepreneurs (Employers’) Organizations of Azerbaijan Republic,NGOs and Civil Society,Represents the interests of private businesses in the energy sector.,ask.org.az
134,CASP,Azerbaijan,Azerbaijan Association of Petroleum Geologists,Industry and Professional Associations,Represents professionals in the oil and gas industry.,science.gov.az
135,CASP,Azerbaijan,Association of Young Engineers and Scientifics,Industry and Professional Associations,Represents young professionals in the energy sector.,science.gov.az
136,CASP,Azerbaijan,Azerbaijan International Oil Company,Commercial Entities,Owns and operates oil and gas fields in Azerbaijan.,exxonmobil.com.az
137,CASP,Azerbaijan,BP Azerbaijan,Commercial Entities,Major oil and gas company operating in Azerbaijan.,minenergy.gov.az
138,CASP,Azerbaijan,International Energy Agency (IEA),International Entities,Conducts research and provides policy recommendations on energy issues.,icmal.az
139,CASP,Azerbaijan,World Bank,Financial and Funding Entities,Provides funding and technical assistance for energy projects in Azerbaijan.,president.az
140,CASP,Azerbaijan,Asian Development Bank,Financial and Funding Entities,Provides funding and technical assistance for energy projects in Azerbaijan.,lhri.az
141,CASP,Azerbaijan,United Nations Development Programme (UNDP),Financial and Funding Entities,Provides funding and technical assistance for sustainable energy projects in Azerbaijan.,sdg.info.az
142,CASP,Georgia,Ministry of Energy,Governmental Entities (Central/Federal),Responsible for developing energy policies and regulating the sector.,economy.ge
143,CASP,Georgia,Georgian National Energy and Water Supply Regulatory Commission,Regulatory and Advisory Entities,Responsible for regulating the electricity and natural gas market.,telasi.ge
144,CASP,Georgia,Georgian State Electrosystem,TSO,Responsible for managing and operating the high-voltage transmission grid in Georgia.,gse.com.ge
145,CASP,Georgia,Distribution Licensees,DSO,Responsible for managing and operating the low-voltage distribution network.,agenda.ge
146,CASP,Georgia,Independent Power Producers (IPPs),IPP,Responsible for generating electricity from renewable and non-renewable sources.,georgiacapital.ge
147,CASP,Georgia,Georgian Energy Development Fund,Financial and Funding Entities,Provides financing for energy projects.,gogc.ge
148,CASP,Georgia,Energy Efficiency Fund,Financial and Funding Entities,Provides funding for energy efficiency measures.,eu4georgia.ge
149,CASP,Georgia,Georgian National Oil and Gas Corporation,Governmental Entities (Central/Federal),Responsible for managing oil and gas resources in the country.,gogc.ge
150,CASP,Georgia,Ministry of Regional Development and Infrastructure,Governmental Entities (Central/Federal),Responsible for development and maintenance of the energy infrastructure.,mrdi.gov.ge
151,CASP,Georgia,Ministry of Environment Protection and Agriculture,Governmental Entities (Central/Federal),Responsible for developing policies related to renewable energy and environmental protection.,mepa.gov.ge
152,CASP,Georgia,Ministry of Finance,Governmental Entities (Central/Federal),Responsible for budget planning and management of government funds allocated to the energy sector.,mof.ge
153,CASP,Georgia,Georgian National Energy and Water Supply Management Company,Commercial Entities,Manages the operations of the state-owned energy utilities.,agenda.ge
154,CASP,Georgia,Association of Georgian Energy Consumers,Industry and Professional Associations,Represents the interests of energy consumers in Georgia.,eda.org.ge
155,CASP,Georgia,Georgian Association of Independent Energy Producers,Industry and Professional Associations,Represents the interests of independent energy producers in the country.,agenda.ge
156,CASP,Georgia,Georgian Oil and Gas Corporation,Commercial Entities,"Responsible for importing, storing, and distributing oil and gas products in Georgia.",gogc.ge
157,CASP,Georgia,Caucasus Environmental NGO Network,NGOs and Civil Society,Advocates for sustainable energy policies and environmental protection.,mes.gov.ge
158,CASP,Georgia,Georgian National Committee of the World Energy Council,"Research, Education, and Development Institutions",Conducts research and promotes sustainable energy development.,nplg.gov.ge
159,CASP,Georgia,Clean Energy Group Georgia,NGOs and Civil Society,Works towards promoting renewable energy and energy efficiency in Georgia.,agenda.ge
160,CASP,Georgia,Georgian National Committee of the International Chamber of Commerce,Industry and Professional Associations,Advocates for a favorable business environment in the energy sector.,icc.ge
161,CASP,Georgia,European Bank for Reconstruction and Development,International Entities,Provides funding for energy projects in Georgia.,agenda.ge
162,CASP,Georgia,United Nations Development Programme,International Entities,Supports sustainable energy development and access to energy in Georgia.,etenders.ge
163,CASP,Georgia,Rural Energy Agency,Rural Electrification Agency,Promotes access to electricity in rural areas.,anrs.gov.ge
164,CASP,Georgia,Association for the Promotion of Renewable Energy,Sector-Specific Entities,Promotes the use of renewable energy sources in Georgia.,matsne.gov.ge
165,CASP,Kazakhstan,Ministry of Energy,Governmental Entities (Central/Federal),Responsible for setting laws and policies related to the energy sector in Kazakhstan.,gov.kz
166,CASP,Kazakhstan,Kazakhstan Electricity Grid Operating Company (KEGOC),TSO,Manages the transmission grid and ensures reliable supply of electricity.,kegoc.kz
167,CASP,Kazakhstan,Kazakhstan Electricity Association,Industry and Professional Associations,"Represents the interests of electricity producers, suppliers and other energy companies.",greenbridgework.kaznu.kz
168,CASP,Kazakhstan,Ministry of Industry and Infrastructure Development,Governmental Entities (Central/Federal),Responsible for developing strategies for energy infrastructure and promoting investment in the sector.,gov.kz
169,CASP,Kazakhstan,KazMunayGas,Commercial Entities,National oil and gas company of Kazakhstan.,kmg.kz
170,CASP,Kazakhstan,National Nuclear Center,"Research, Education, and Development Institutions",Conducts research and development in the field of nuclear energy.,nnc.kz
171,CASP,Kazakhstan,Kazakhstan Electricity and Power Market Operator (KOREM),DSO,Responsible for managing the distribution grids and ensuring quality of supply.,korem.kz
172,CASP,Kazakhstan,Association of Renewable Energy,Industry and Professional Associations,Promotes renewable energy development in Kazakhstan.,vie.korem.kz
173,CASP,Kazakhstan,Kazakhstan Solar Energy Association,Industry and Professional Associations,Represents the interests of the solar energy industry in Kazakhstan.,vie.korem.kz
174,CASP,Kazakhstan,United Nations Development Programme in Kazakhstan,International Entities,Works with the government to promote sustainable energy practices.,kazhydromet.kz
175,CASP,Kazakhstan,Kazakhstan Association of Oil and Gas and Energy Complex,Industry and Professional Associations,Represents the interests of the oil and gas and energy sector in Kazakhstan.,dku.kz
176,CASP,Kazakhstan,Kazakhstan Renewable Energy Association,Industry and Professional Associations,Promotes renewable energy development and integration into the national energy system.,vie.korem.kz
177,CASP,Kazakhstan,KazEnergy Association,Industry and Professional Associations,Represents the interests of the energy and oil and gas sector in Kazakhstan.,dku.kz
178,CASP,Kazakhstan,Kazakh Scientific Research Institute of New Technologies,"Research, Education, and Development Institutions",Conducts research and development in the field of energy efficiency and renewable energy.,kaznu.kz
179,CASP,Kazakhstan,Association of Electrical Engineering Companies,Industry and Professional Associations,Represents the interests of electrical engineering companies in Kazakhstan.,greenbridgework.kaznu.kz
180,CASP,Kazakhstan,Kazakhstan Wind Energy Association,Industry and Professional Associations,Works to promote wind energy development in Kazakhstan.,nur.nu.edu.kz
181,CASP,Kazakhstan,Eurasian Development Bank,Financial and Funding Entities,Provides financing for energy projects in Kazakhstan.,kase.kz
182,CASP,Kazakhstan,International Atomic Energy Agency,International Entities,Works with the government to promote peaceful use of nuclear energy in Kazakhstan.,gov.kz
183,CASP,Kazakhstan,Association for the Development of Rural Areas,NGOs and Civil Society,Works to improve access to clean cooking solutions for rural communities in Kazakhstan.,akorda.kz
184,CASP,Kazakhstan,Kazakhstan Municipal Departments of Energy,Local/Regional/Municipal Government Entities,Responsible for providing energy services and developing energy infrastructure at the local level.,primeminister.kz
185,CASP,Kazakhstan,Kazakhstan Association of Energy Lawyers,Industry and Professional Associations,Represents the interests of energy lawyers in Kazakhstan.,aequitas.kz
186,CASP,Kazakhstan,Eurasian Group,Commercial Entities,Manages the exploration and production of energy resources in Kazakhstan.,erg.kz
187,CASP,Kazakhstan,Kazakhstan Association of Energy Auditors,Industry and Professional Associations,Promotes energy efficiency and conducts energy audits in Kazakhstan.,eeq.kz
188,CASP,Kazakhstan,Foundation for Rural Electrification,NGOs and Civil Society,Works to increase access to electricity in rural areas of Kazakhstan.,total.kz
189,CASP,Kazakhstan,Kazakhstan Energy Efficiency Center,"Research, Education, and Development Institutions",Conducts research and promotes energy efficiency practices in Kazakhstan.,dku.kz
190,CASP,Kyrgyzstan,the Ministry of Energy and Industry,Governmental Entities (Central/Federal),The central governing body responsible for overall energy and industrial policies and regulations.,gov.kg
191,CASP,Kyrgyzstan,National Electric Grid Company (NEGC),TSO,The main operator of the national electric grid and responsible for transmission of electricity.,nehk.energo.kg
192,CASP,Kyrgyzstan,Distribution System Operator (DSO),DSO,Responsible for distribution of electricity to end consumers.,minenergo.gov.kg
193,CASP,Kyrgyzstan,Independent Power Producers (IPP),IPP,Private companies responsible for producing electricity.,k-a.kg
194,CASP,Kyrgyzstan,the National Energy Holding Company,Governmental Entities (Central/Federal),The central entity responsible for management and development of the energy sector.,nehk.energo.kg
195,CASP,Kyrgyzstan,State Agency for Regulation of the Fuel and Energy Complex,Regulatory and Advisory Entities,Regulatory body responsible for ensuring fair market competition and consumer protection in the energy sector.,nehk.energo.kg
196,CASP,Kyrgyzstan,Kyrgyzstan State Agency for Environmental Protection and Forestry,Regulatory and Advisory Entities,Responsible for environmental regulation and preservation in the energy sector.,auca.kg
197,CASP,Kyrgyzstan,Kyrgyz State Technical University,"Research, Education, and Development Institutions",Leading institution for research and education in the energy sector.,kstu.kg
198,CASP,Kyrgyzstan,Association of Renewable Energy Development,Industry and Professional Associations,Non-profit organization promoting the development and use of renewable energy sources.,green-alliance.kg
199,CASP,Kyrgyzstan,Association of Oil and Gas Producers,Industry and Professional Associations,Represents the interests of oil and gas producers in Kyrgyzstan.,invest.gov.kg
200,CASP,Kyrgyzstan,Rural Electrification Agency,Rural Electrification Agency,Government agency in charge of electrifying rural areas.,mineconom.gov.kg
201,CASP,Kyrgyzstan,Municipal Energy Utilities,Local/Regional/Municipal Government Entities,Local entities responsible for energy supply and distribution.,invest.gov.kg
202,CASP,Kyrgyzstan,Energy Efficiency Fund,Financial and Funding Entities,Government fund providing financing for energy efficiency projects.,biom.kg
203,CASP,Kyrgyzstan,National Statistics Committee,Regulatory and Advisory Entities,Responsible for data collection and statistics related to the energy sector.,stat.kg
204,CASP,Kyrgyzstan,"- Public Association ""For the Protection of Human Rights in the Field of Energy""",NGOs and Civil Society,Non-governmental organization advocating for human rights in the energy sector.,
205,CASP,Kyrgyzstan,World Bank,International Entities,International organization providing financial and technical support to energy sector projects in Kyrgyzstan.,auca.kg
206,CASP,Tajikistan,Ministry of Energy,Governmental Entities (Central/Federal),Responsible for energy policy and planning.,mfa.tj
207,CASP,Tajikistan,Ministry of Energy,Governmental Entities (Central/Federal),Responsible for energy policy and planning.,mfa.tj
208,CASP,Tajikistan,Ministry of Water Resources and Energy,Governmental Entities (Central/Federal),Oversees the development and maintenance of water and energy resources.,nsdi.tj
209,CASP,Tajikistan,Ministry of Finance,Governmental Entities (Central/Federal),Responsible for budgeting and financing of energy projects.,moliya.tj
210,CASP,Tajikistan,Committee for Electricity and Power Engineering,Governmental Entities (Central/Federal),Sets policy and regulations for the electricity sector.,web.ttu.tj
