keyword,English,Arab,Bulgarian,Mandarin,Croatian,Czech,Danish,Dutch,Estonian,Finnish,Flemish,French,German,Greek,Hindi,Hungarian,Indonesia,Irish,Italian,Japanese,Korean,Latvian,Lithuanian,Luxembourgish,Maltese,Polish,Portuguese,Romanian,Slovak,Slovenian,Spanish,Swedish,Turkish
import,import,استيراد,внос,进口,uvoz,dovoz,import,import,import,tuonti,import,importation,Import,εισαγωγή,आयात,import,impor,iompórtáil,Importazione,輸入,수입,imports,importas,Import,importazzjoni,import,importação,import,dovoz,dovoz,importación,import,ihracat
tariff,tariff,التعريفة,тарифа,关税,tarifa,sazba,afgift,heffing,tariif,tariffi;tullimaksu,tarief,tarif,Zoll,τέλη,टैरिफ, vámtarifa,tarif,taraif, Tariffa;dazio,関税,관세,tarifs,tarifas,Zoll,tariffa,opłata,tarifa,tarif,clo,carina,arancel,tariff,tarife
tax credit,tax credit,ضريبة الائتمان,данъчен кредит,税收抵免,porezni kredit,daňový kredit,skattefradrag,heffingskorting,maksukrediit,verohuojennus;kotitalousvähennys,belastingkrediet,crédit d'impôt,Steuerkredit;Steuergutschrift,φορολογική πίστωση,कर क्रेडिट, adókedvezmény,Kredit pajak,creidmheas cánach,credito di imposta,税額控除,세액 공제,nodokļu kredīts,mokesčių kreditas,Steuerkredit,kreditu tat-taxxa,ulga podatkowa,crédito fiscal,credit fiscal,daňový úver,davčna olajšava,crédito fiscal,skattekredit,vergi kredisi
tax reduction,tax reduction,تخفيض الضرائب,намаляване на данъците,减税,smanjenje poreza,snížení daně,skattelettelse,belastingverlaging,maksusoodustus,veronalennus;verohuojennus,belastingverlaging,réduction d'impôt,Steuerermäßigung,μείωση φόρου,कर में कमी,adócsökkentés,pengurangan pajak,laghdú cánach,riduzione delle imposte,減税,세금 감면,nodokļu samazināšana,mokesčių sumažinimas,Steuerreduzierung,tnaqqis fit-taxxa,obniżka podatku,redução de impostos,reducere de taxe,zníženie dane,znižanje davkov,reducción de impuestos,skattesänkning,vergi indirimi
state guarantee,state guarantee,ضمانة الدولة,държавна гаранция,国家担保 ,državno jamstvo,státní záruka,statsgaranti,Staatsgarantie;overheidsgarantie ,riigigarantii,valtiontakaus,staatsgarantie,garantie d'État,Staatsgarantie,εγγύηση κράτους,राज्य गारंटी,állami garancia,jaminan negara,ráthaíocht rialtais,garanzia statale,政府保証,국가 보증,valsts garantija,valstybės garantija,Staatsgarantie,garanzija tal-istat,gwarancja państwowa,garantia pública,garanție de stat,štátna záruka,državna garancija,garantía estatal,statlig garanti,devlet garantisi
loan,loan,قرض,заем,贷款,zajam,půjčka,lån,lening,laen,laina,lening,prêt,Darlehen,δάνειο,ऋण,hitel,pinjaman,iasacht,Prestito,ローン,대출,aizdevums,paskola,Darlehen,self,pożyczka,empréstimo,împrumut,pôžička,posojilo,préstamo,lån,kredi
grant,grant,منحة,грант,补助金,grant,dotace,tilskud,subsidie,toetus,apuraha,subsidie,financement,Zuschuss;Beihilfe,επιχορήγηση,अनुदान,támogatás,hibah,deontas,Sovvenzione,助成金,보조금,grants,grantas,Subvention,grant,grant,subvenção,grant,dotácia,subvencija,subvención,bidrag,hibe
subsidy,subsidy,دعم,субсидия,补贴,subvencija,dotace,tilskud,subsidie,toetus,tuki,subsidie,subvention,Subvention,επιδότηση,राजसहायता;सहायिकी,támogatás,subsidi,fóirdheontas,Sussidio,補助金,보조금,subsīdija,subsidija,Subvention,subsidju,subsydium,subsídio,subvenție,subvencia;dotácia,subvencija,subvención,bidrag;subvention,teşvik
procurement,procurement,شراء,процедура за възлагане,采购,usklađivanje,pořizování,indkøb,aanbesteding,hankimine,hankinta,aanbesteding,commande publique,Beschaffung,προμήθειες,खरीद,beszerzés,pengadaan,soláthar,Appalto,調達,조달,iekāpšana,įsigijimas,Beschaffung,proċedura ta' akkwist,zamówienie,compra,achiziție,obstarávanie,nabava,adquisición,upphandling,tedarik
fund,fund,صندوق,фонд,基金,zaklada,fond,fond,fonds,fond,rahasto,fonds,fonds,Fonds,ταμείο,कोष,alap,dana,ciste,fondo,ファンド,펀드,fonds,fondas,Fonds,fond,fundusz,fundo,fond,fond,fond,fondo,fond,fon
joint venture,joint venture,مشروع مشترك,съвместно предприятие,合资企业,zajednički pothvat,společný podnik,fællesforetagende,joint venture,ühisettevõte,yhteisyritys,joint venture,joint venture,Gemeinschaftsunternehmen;Joint Venture,κοινοπραξία,संयुक्त उद्यम,közös vállalkozás,Perusahaan Patungan,comhfhiontar,impresa congiunta;joint venture,ジョイントベンチャー,합작 회사,kopuzņēmums,bendrasis verslas,Gemeinschaftsunternehmen,ġemgħa konġunta,joint venture,joint venture;consórcio,întreprindere comună,spoločný podnik,skupno podjetje,empresa conjunta,samföretag,ortak girişim
foreign direct investment,foreign direct investment,الاستثمار الأجنبي المباشر,преки чуждестранни инвестиции,外商直接投资,strana izravna investicija,přímá zahraniční investice,direkte udenlandske investeringer,rechtstreekse buitenlandse investeringen;directe buitenlandse investeringen,välisotse investeering,suora ulkomainen investointi;suora ulkomaaninvestointi,rechtstreekse buitenlandse investeringen,investissement direct étranger,Direktinvestitionen aus dem Ausland;ausländische Direktinvestitionen;Auslandsdirektinvestitionen,άμεσες ξένες επενδύσεις,प्रत्यक्ष विदेशी निवेश,külföldi közvetlen befektetés,Penanaman Modal Asing (PMA) ,infheistíocht dhíreach eachtrach (IDE),investimento diretto estero,外国直接投資,외국인 직접 투자,tiešā ārvalstu investīcija,tiesioginė užsienio investicija,Direktinvestitionen aus dem Ausland,investiment dirett barrani,bezpośrednie inwestycje zagraniczne,investimento estrangeiro direto,directe buitenlandse investeringen,priama zahraničná investícia,tuja neposredna investicija,inversión extranjera directa,direkt utländsk investering,yabancı doğrudan yatırım
voucher,voucher,قسيمة,ваучер,券,kupon,poukázka;kupon,kupon,kortingsbon;korting,vautšer,etuseteli;kuponki,kortingsbon,chèque,Gutschein,κουπόνι,वाउचर,utalvány,voucher,dearbhán,voucher,クーポン;証明書,바우처,kupons,kuponas,Gutschein,vawċer,kupon,voucher,voucher,poukážka,kupon,vale,check,kupon
price cap,price cap,سقف السعر,ценови таван,价格上限,cjenovni kap,dotační strop,prisloft,prijsplafond,hinnalagi,hintakatto,prijsplafond,plafond de prix,Preisdeckel,ανώτατο όριο τιμής,मूल्य सीमा,árplafon,Tarif Batas Atas (TBA),caidhp phraghais,tetto dei prezzi,価格上限,가격 상한,cenamaksimums,kainų lubos,Preisdeckel,capping tal-prezz,limit cenowy,teto de preço,limit de preț,cenový strop,cenovna kapica,tope de precios,pristak,harga maksimum
price regulation,price regulation,تنظيم الأسعار,ценова регулация,价格管制,regulacija cijena,cenová regulace,prisregulering,prijsregulering;tariefregulering,hinnaregulatsioon,hintojen sääntely,prijsregulering,régulation des prix,Preisregulierung,ρυθμίσεις τιμών,मूल्य विनियमन,árreguláció,regulasi harga,rialáil phraghais,regolamentazione dei prezzi,価格規制,가격 규제,cenu regulācija,kainų reguliavimas,Preisregulierung,regolamentazzjoni tal-prezz,regulacja cen,regulação de preços,reglementarea prețurilor,cenová regulácia,regulacija cen,regulación de precios,prisreglering,fiyat düzenlemesi
equity purchase,equity purchase,شراء الأسهم,покупка на капиталови дялове,股权购买,kupnja dionica,akviziční nákup,aktiekøb,aandelenkoop;aankoop eigen vermogen,omandi ost,osakekauppa,aandelenkoop,achat d'actions,Aktienkauf;Eigenkapitalerwerb,αγορά μετοχών,इक्विटी खरीद,tőkeátruházás,pembelian ekuitas,ceannach cothromais,acquisto di azioni,株式購入,주식 구매,akciju iegāde,akcijų pirkimas,Aktienkauf,akkwist ta' ekwità,zakup udziałów,compra de ações,cumpărare de capital,akvizícia;akvizičný nákup,prevzem delnic,compra de acciones,aktieköp,hisse satın alma
capital increase,capital increase,زيادة رأس المال,увеличение на капитала,资本增加,kapitalno povećanje,kapitálové zvýšení,kapitalforhøjelse,kapitaalverhoging,kapitali suurenemine,pääoman korotus,kapitaalverhoging,augmentation de capital,Kapitalerhöhung,αύξηση κεφαλαίου,पूंजीगत वृद्धि,tőkeemelés,peningkatan modal,cruinnigh caipiteal,aumento di capitale,資本増加,자본 증가,kapitāla palielināšana,kapitalo didinimas,Kapitalerhöhung,żieda fil-kapital,zwiększenie kapitału,aumento de capital,majorare de capital,zvýšenie kapitálu,kapitalsko povečanje,aumento de capital,kapitalökning,sermaye artırımı
