keyword,English,Arab,Bulgarian,Mandarin,Croatian,Czech,Danish,Dutch,Estonian,Finnish,Flemish,French,German,Greek,Hindi,Hungarian,Indonesia,Irish,Italian,Japanese,Korean,Latvian,Lithuanian,Luxembourgish,Maltese,Polish,Portuguese,Romanian,Slovak,Slovenian,Spanish,Swedish,Turkish
urban transit,urban transit, وسائل النقل الحضرية,градски транспорт ,城市交通,gradski prijevoz,městská doprava,bytrafik,stadsverkeer,linnatransport,kaupunkiliikenne,stadsverkeer,Transport urbain,Städtischer Nahverkehr,Αστικός Συγκοινωνιακός,शहरी ट्रांजिट,Városi közlekedés,Transportasi kota,Iompair uirbeach,Trasporto urbano,都市交通,도시 교통,Pilsētas transporta,Miesto transportas,Städesverkéier,Trasport urban,Transport miejski,Transporte urbano,Transport urban,Mestská doprava,Urbani promet,Transporte urbano,Stadsförbindelser,Şehir içi taşımacılık
rail,rail, السكك الحديدية,железопътен ,铁路,željeznica,železnice,jernbane,spoorweg,raudtee,rautatie,spoorweg,Chemin de fer,Schiene,Σιδηρόδρομος,रेल,Vasút,Rel kereta api,Iarnród,Ferrovia,鉄道,철도,Dzelzceļš,Geležinkelis,Eisebunn,Tram,Kolej,Ferrovia,Cale ferată,Železnica,Železnica,Ferrocarril,Järnväg,Demiryolu
bus,bus, الحافلة,автобусен ,公共汽车,autobus,autobus,bus,bus,buss,bussi,bus,Bus,Bus,Λεωφορείο,बस,Busz,Bus,Bus,Autobus,バス,버스,Autobuss,Autobusas,Bus,Xarabank,Autobus,Ônibus,Autobuz,Autobus,Avtobus,Autobús,Buss,Otobüs
charging infrastructure,charging infrastructure, بنية تحتية للشحن,инфраструктура за зареждане ,充电基础设施,infrastruktura punjenja,infrastruktura nabíjení,opladningsinfrastruktur,laadinfrastructuur,laadimisinfrastruktuur,latausinfrastruktuuri,laadinfrastructuur,infrastructure de recharge,Ladeinfrastruktur,υποδομή φόρτισης,चार्जिंग इंफ्रास्ट्रक्चर,töltő infrastruktúra,infrastruktur,bonnán,infrastruttura di ricarica,充電インフラストラクチャー,충전 인프라,uzlādes infrastruktūra,įkrovimo infrastruktūra,Luedegberedskap,infrastruttura,infrastruktura ładowania,infraestrutura de carregamento,infrastructură de încărcare,nabíjací infraštruktúra,polnilec,infraestructura de recarga,infrastruktur för laddning,şarj altyapısı
bikeway,bikeway, درجة العجلات,велосипедна пътека ,自行车道,biciklistička staza,cyklostezka,cykelsti,fietspad,jalgrattatee,pyörätie,fietspad,piste cyclable,Radweg,ποδηλατόδρομος,बाइकवे,kerékpárút,jalur sepeda,bóthar rothaíochta,pista ciclabile,自転車道,자전거 도로,velomājas,dviraciu takas,Radwouergang,pista tal-bicca,ścieżka rowerowa,ciclovia,pista de bicicleta,kolesarska steza,pista de bicicleta,carril bici,Cykelväg,bisiklet yolu
walkway,walkway, ممشى,пешеходна пътека ,步行道,pješačka staza,chodník,gangsti,wandelpad,jalakäijatee,kävelytie,voetpad,trottoir,Gehweg,πεζοδρόμιο,वॉकवे,járda,jalan pejalan kaki,cosán siúl,marciapiede,歩道,보도,pastaiga,pėsčiųjų takas,Geeschtrouss,walkway,chodnik,calçada,trotuar,pešia cesta,paseo peatonal,pasarela,gångväg,yürüyüş yolu
electric vehicle,electric vehicle, سيارة كهربائية,електрическо превозно средство ,电动汽车,električno vozilo,elektromobil,elbil,elektrisch voertuig,elektriauto,sähköauto,elektrisch voertuig,véhicule électrique,Elektrofahrzeug,ηλεκτρικό όχημα,इलेक्ट्रिक वाहन,elektromos jármű,kendaraan listrik,gluaisteán leictrigh,veicolo elettrico,電気自動車,전기차,elektrisks transportlīdzeklis,elektrinis automobilis,elektrisches Auto,karozza elettrika,samochód elektryczny,veículo elétrico,vehicul electric,elektrické vozidlo,električno vozilo,vehículo eléctrico,elektriskt fordon,elektrikli araç
ship,ship, سفينة,кораб ,船舶,brod,loď,skib,schip,laev,laiva,schip,navire,Schiff,πλοίο,जहाज,hajó,kapal,long,nave,船,배,kuģis,laivas,Schiffchen,dgħajsa,statek,navio,navă,loď,ladja,barco,skepp,gemi
aviation,aviation, الطيران,авиация ,航空,avijacija,letectví,luftfart,luchtvaart,lennundus,ilmailu,luchtvaart,aviation,Luftfahrt,αεροπορία,उड़ान,légi közlekedés,penerbangan,eitilte,aviazione,航空,비행,aviācija,aviacija,Luftfahrt,l-avjazzjoni,lotnictwo,aviação,aviație,letectvo,letalstvo,aviación,luftfart,havacılık
energy efficiency,energy efficiency, كفاءة الطاقة,енергийна ефективност ,能源效率,energetska učinkovitost,energetická účinnost,energieffektivitet,energie-efficiëntie,energiatõhusus,energiatehokkuus,energie-efficiëntie,efficacité énergétique,Energieeffizienz,απόδοση ενέργειας,ऊर्जा कुशलता,energiahatékonyság,efisiensi energi,éifeachtacht fuinnimh,efficienza energetica,エネルギー効率,에너지 효율성,enerģētikas efektivitāte,energijos naudingumas,Energieeffizienz,effiċjenza tal-enerġija,wydajność energetyczna,eficiência energética,eficiență energetică,energetická účinnosť,energetska učinkovitost,eficiencia energética,energieffektivitet,enerji verimliliği
retrofit,retrofit, التجديد,ремонт на съществуващи сгради ,改造,renovacija,rekonstrukce,renovering,renovatie,renoveerimine,saneeraus,renovatie,modernisation,Nachrüstung,αναβάθμιση,रिट्रोफिट,átalakítás,peremajaan,athchóiriú,ristrutturazione,改修,개조,modernizācija,modernizacija,Retrofit,modernizza,modernização,reabilitare,modernizovať,modernizácia,nadgradnja,reequipamiento,eftermontering,güçlendi̇rme
hard to abate,hard to abate, صعب الحد منه,трудни за ограничаване ,难以消减,teško smanjivo,těžko snižitelný,svært at mindske,moeilijk te verminderen,raskesti vähendatav,vaikea vähentää,moeilijk te verminderen,difficile à réduire,schwer zu reduzieren,δύσκολο να μειωθεί,कठिन होना नामुमकिन,nehezen csökkenthető,sulit dikurangi,deacair le laghdú,difficile da ridurre,抑制が困難,줄이기 어려운,grūti samazināms,sunkiai mažinamas,schwer abbaubar,difficile da abbattere,difícil de reduzir,ťažko znižovateľné,težko zmanjšati,ťažko zmierniteľné,težko zmanjšati,difícil de reducir,svår att minska.,azaltılması zor
energy-intensive,energy-intensive, مكثفة في استهلاك الطاقة,енергийно-интензивен ,能源密集型,energetski intenzivan,energeticky náročný,energitunge,energie-intensief,energiamahukas,energiaintensiivinen,energie-intensief,intensif en énergie,energieintensiv,ενεργειακά επιβαρυμένο,ऊर्जा-आवश्यक,energiatermelő,intensif energi,taiseacht fuinnimh,intensivo energetico,エネルギー密集型,에너지 집약형,enerģētiski intensīvs,energijos intensyvus,Energie-Intensiv,intensivo di energia,intensivo em energia,intensivne energetický,energijsko intenzivno,Energeticky náročné,Energetsko intenzivna,Uso intensivo de energía,Energiintensivt,Enerji yoğun
net zero building,net zero building, المبنى الصافي بالطاقة,нетно нулева сграда ,净零建筑,zgrada nulte emisije,budova s nulovými emisemi,netto-nulhus,nul-op-de-meter woning,nullenergiahoone,nollaenergiatalo,nul-op-de-meter woning,bâtiment à énergie nette zéro,Netto-Null-Gebäude,κτίριο με καθαρή ενέργεια,नेट जीरो बिल्डिंग,nettó nulla épület,bangunan nol bersih,foirgneamh nialasach gan aon rud,edificio a energia netta zero,ネット・ゼロ建物,순수 제로 건물,neto nulles ēka,neturintis nulį pastatas,Netto-Null-Gebai,edificio a zero netto,edifício com energia líquida zero,neto nulová budova,objekt z neto nič energetsko,čistá nulová budova,neto ničelna stavba,edificio neto cero,nettonollbyggnad,net sıfır bina
solar thermal,solar thermal, الطاقة الحرارية الشمسية,слънчево топлинно ,太阳热能,solarni termal,solární tepelné,solvarme,zonne-thermisch,päikesetermiline,aurinkolämpö,zonne-thermisch,solaire thermique,Solarthermie,ηλιοθερμική,सौर थर्मल ,napkollektoros hőtermelés,panas matahari,téimh téimheolaíoch,solare termico,太陽熱,태양열,Saules termiskā enerģija,saulės šiluminė energija,Solarthermisch,termali solari,energia słoneczna,solar térmico,solar termic,solárne termálne zariadenia,sončna toplota,solar térmica,solvärme,güneş termal
geothermal,geothermal, الطاقة الجيومائية,геотермален ,地热,geotermalna,geotermální,geotermisk,geothermisch,geotermiline,geoterminen,geothermisch,géothermie,Geothermie,γεωθερμία,भूतमूलीय ,geotermikus,panas bumi,fuachtéarmach,geotermico,じねつ,지열,ģeotermiskā,geoterminė energija,Geothermisch,ġeotermali,geotermalne,geotermal,geotermal,geotermálne,geotermalna,geotérmica,Geotermisk,jeotermal
heat pumps,heat pumps, مضخات الحرارة,топлови помпи ,热泵,toplinske pumpe,tepelná čerpadla,varmepumper,warmtepompen,soojuspumbad,lämpöpumput,warmtepompen,pompes à chaleur,Wärmepumpen,αντλίες θερμότητας,हीट पंप ,hőszivattyúk,pompa panas,bompála teasa,pompe di calore,ヒートポンプス,히트 펌프,siltumsūkņi,šilumos siurbliai,Wärmepumpen,pompi tal-ħelu,pompy ciepła,bombas de calor,pompe de căldură,tepelné čerpadlá,toplotne črpalke,bombas de calor,värmepumpar,ısı pompaları
grid,grid, الشبكة الكهربائية,мрежа ,电网,mreža,síť,net,netwerk,võrk,verkko,netwerk,réseau,Netz,δίκτυο,ग्रिड ,hálózat,jaringan,ciorcal sléibhe,rete,グリッド,그리드,tīkls,tinklas,Netz,grid,sieć,grelha,rețea,sieť,omrežje,red,nät,ızgara
network,network, الشبكة,мрежово свързване ,网络,mreža,síť,netværk,netwerk,võrk,verkko,netwerk,réseau,Netz,δίκτυο,नेटवर्क ,hálózat,jaringan,líonra,rete,ネットワーク,네트워크,tīkls,tinklas,Netzwerk,nettwerk,sieć,rede,rețea,sieť,omrežje,red,nät,ağ
transmission,transmission, نقل,предаване ,输电,prijenos,přenos,transmission,overdracht,ülekandmine,siirto,overdracht,Transport,Übertragung,Μεταφορά,ट्रांसमिशन ,Átvitel,Transmisi,rannán,Trasmissione,トランスミッション,송전,Pārvades sistēma,Perdavimas,Übertragung,Trasmissjoni,Przesyłanie,Transmissão,Transport,Prenos,Prenos,transmisión,Överföring,Şanzıman
distribution,distribution, توزيع,разпределение ,分配,distribucija,distribuce,distribution,distributie,jaotus,jakelu,distributie,distribution,Verteilung,διανομή,डिस्ट्रीब्यूशन ,elosztás,distribusi,dosmál,distribuzione,分布,분배,sadale,paskirstymas,Verteilung,distibuzzjoni,dystrybucja,distribuição,distribuție,distribúcia,distribucija,distribución,distribution,dağıtım
just transition,just transition, انتقال عادل,справедлива транзиция ,刚性过渡,pravedan prijelaz,spravedlivý přechod,retfærdig overgang,rechtvaardige transitie,õiglane üleminek,oikeudenmukainen siirtymä,rechtvaardige transitie,transition juste,gerechter Übergang,απλή μετάβαση,इंसाफ़ी ट्रांजिशन ,csak átmenet,hanya transisi,aistriú cóir,transizione giusta,ちょうどいい移行,전환,tikai pāreja,tiesiog perėjimas,Gerechter Übergang,transizzjoni ġusta,sprawiedliwe przejście,apenas transição,doar tranziție,len prechod,samo prehod,transición justa,övergång,sadece geçiş
training,training, تدريب,обучение ,培训,obuka,školení,træning,training,koolitus,koulutus,training,formation,Ausbildung,εκπαίδευση,प्रशिक्षण ,képzés,pelatihan,traenáil,formazione,稽古,교육,apmācība,mokymai,Schulung,taħriġ,szkolenie,treino,formare,školenie,usposabljanje,formación,utbildning,EĞİTİM
social transition,social transition, انتقال اجتماعي,социална транзиция ,社会转型,socijalni prijelaz,sociální přechod,social overgang,sociale transitie,sotsiaalne üleminek,sosiaalinen siirtymä,sociale transitie,transition sociale,sozialer Übergang,κοινωνική μετάβαση,सामाजिक ट्रांजिशन ,társadalmi átmenet,transisi sosial,aistriú sóisialta,transizione sociale,社会移行,사회적 전환,sociālā pāreja,socialinis perėjimas,Sozialer Übergang,transizzjoni soċjali,przemiana społeczna,transição social,tranziție socială,sociálny prechod,socialni prehod,transición social,social övergång,sosyal dönüşüm
clean cooking,clean cooking, الطهي النظيف,чисто готвене ,清洁烹饪,čisto kuhanje,čisté vaření,ren madlavning,schoon koken,puhas toiduvalmistamine,puhdas ruoanlaitto,schoon koken,cuisson propre,Sauberes Kochen,καθαρό μαγείρεμα,क्लीन कुकिंग ,tiszta főzés,memasak bersih,cócaireacht glan,cucina pulita,クリーンクッキング,깨끗한 요리,tīra ēdiena gatavošana,švarus maisto gaminimas,Sauberes Kochen,kħob ċist,czyste gotowanie,cozinha limpa,gătit curat,čisté varenie,čisto kuhanje,cocina limpia,ren matlagning,temiz pişirme
electricity access,electricity access, الوصول إلى الكهرباء,достъп до електричество ,电力供应,pristup električnoj energiji,přístup k elektřině,adgang til elektricitet,toegang tot elektriciteit,juurdepääs elektrile,sähköntoimitus,toegang tot elektriciteit,accès à l'électricité,Zugang zu Elektrizität,πρόσβαση στην ηλεκτρική ενέργεια,बिजली उपलब्धता ,villamosenergia-hozzáférés,akses listrik,rochtain ar leictreachas,accesso all'elettricità,でんきアクセス,전기 접근성,elektrības pieejamība,galimybė naudotis elektra,Zugang zu Elektrizität,aċċess għall-elettriku,dostęp do energii elektrycznej,acesso à electricidade,acces la electricitate,prístup k elektrickej energii,dostop do električne energije,acceso a la electricidad,Tillgång till elektricitet,elektri̇k eri̇şi̇mi̇
energy access,energy access, الوصول إلى الطاقة,достъп до енергия ,能源获取,pristup energiji,přístup k energii,adgang til energi,toegang tot energie,juurdepääs energiale,energian saanti,toegang tot energie,accès à l'énergie,Energiezugang,πρόσβαση στην ενέργεια,ऊर्जा उपलब्धता ,energia-hozzáférés,akses energi,rochtain ar fhórsaí fuinnimh,accesso all'energia,エネルギーアクセス,에너지 접근성,enerģijas pieejamība,energijos prieinamumas,Zugang zu Energie,aċċess għall-enerġija,dostęp do energii,acesso à energia,accesul la energie,prístup k energii,dostop do energije,acceso a la energía,Tillgång till energi,enerji̇ eri̇şi̇mi̇
minigrid,minigrid, شبكة صغيرة,минимрежа ,迷你电网,Minimreža,Minisíť,Mininet,Minigrid,Minivõrk,Miniverkko,Mininet,Mini-réseau,Minigrid,Minigrid,मिनीग्रिड ,Minigrid,Minigrid,mionghréas,Minigrid,ミニグリッド,미니그리드,Minigrid,Minigrid,Mininetz,minigrid,Minigrid,Minigrid,Minigrid,Minigrid,Minigrid,Minirred,Minigrid,Minigrid
network connexion,network connexion, اتصال الشبكة,връзка на мрежата ,网络连接,mrežna veza,síťové propojení,netværksforbindelse,netwerkverbinding,võrguühendus,verkkoyhteys,netwerkverbinding,connexion au réseau,Netzanbindung,σύνδεση δικτύου,नेटवर्क कनेक्शन ,hálózati összeköttetés,koneksi jaringan,ceangal líonra,connessione di rete,ネットワークコネクション,네트워크 연결,tīkla savienojums,tinklo jungtis,Netzwerkanschluss,konnessjoni nettwerk,połączenie sieci,conexão de rede,conectare la rețea,pripojenie k sieti,omrežna povezava,conexión a la red,nätverksanslutning,ağ bağlantısı
cylinder,cylinder, اسطوانة,цилиндър ,气瓶,cilindar,válec,cylinder,cilinder,silinder,sylinteri,cilinder,Cylindre,Zylinder,Κύλινδρος,सिलेंडर ,Palack,Silinder,cilibre,Cilindro,シリンダー,실린더,Cilindrs,Cilindras,Zylinder,silindru,Cylinder,Cilindro,Cilindru,Valec,Cilinder,Cilindro,Cylinder,Silindir
energy affordability,energy affordability, تحمل تكاليف الطاقة,достъпност на енергията ,能源可负担性,pristupačnost energije,dostupnost energie,energitilgængelighed,energiebetaalbaarheid,energiaga kättesaadavus,energian saatavuus,energiebetaalbaarheid,prix de l'énergie,Erschwinglichkeit von Energie,προσιτή τιμή ενέργειας,ऊर्जा की अधिकता ,energia megfizethetősége,keterjangkauan energi,inacmhainneacht fuinnimh,accessibilità energetica,エナジーアフォーダビリティ,에너지 경제성,enerģijas pieejamība,energijos prieinamumas,Energiebezahlbarkeit,affordabbiltà tal-enerġija,przystępność cenowa energii,acessibilidade de energia,accesibilitate energetică,cenová dostupnosť energie,cenovna dostopnost energije,asequibilidad de la energía,överkomliga energikostnader,enerji̇ karşilanabi̇li̇rli̇ği̇
consumer support,consumer support, دعم المستهلكين,подкрепа на потребителите ,消费者支持,potpora potrošača,podpora spotřebitelů,forbrugersupport,consumentenondersteuning,tarbijatoetus,kuluttajatuki,consumentensteun,soutien aux consommateurs,Unterstützung der Verbraucher,υποστήριξη των καταναλωτών,उपभोक्ता समर्थन ,fogyasztói támogatás,dukungan konsumen,tacaíocht do thomhaltóirí,sostegno ai consumatori,消費者支援,소비자 지원,atbalsts patērētājiem,parama vartotojams,Verbraucherunterstützung,appoġġ lill-konsumatur,wsparcie dla konsumentów,apoio ao consumidor,sprijin pentru consumatori,podpora spotrebiteľov,podpora potrošnikom,apoyo al consumidor,Konsumentstöd.,tüketi̇ci̇ desteği̇
price cap,price cap, سقف الأسعار,лимит на цената ,价格上限,cijena ograničenja,cena stropu,prisloft,prijsplafond,hind piirang,hintakatto,prijsplafond,Plafonnement des prix,Preisobergrenze,Ανώτατο όριο τιμών,मूल्य सीमा ,Árplafon,Batas harga,ceapairí praghas,Limite di prezzo,価格上限,가격 상한,Cenu griesti,Kainų viršutinė riba,Preisobergrenze,limitu tal-prezz,Limit cenowy,Preço limite,Plafonarea prețurilor,Cenový strop,Omejitev cen,Precio máximo,Pristak,Fiyat sınırı
vulnerable households,vulnerable households, الأسر الضعيفة,уязвими домакинства ,弱势家庭,ranjive kućanstva,zranitelné domácnosti,sårbare husstande,kwetsbare huishoudens,haavatavad leibkonnad,haavoittuvat kotitaloudet,kwetsbare huishoudens,ménages vulnérables,Gefährdete Haushalte,ευάλωτα νοικοκυριά,संवेदनशील घरानों के लिए ,kiszolgáltatott háztartások,rumah tangga yang rentan,teaghlaigh atá faoi ionsaí,famiglie vulnerabili,弱者世帯,취약 가구,neaizsargātas mājsaimniecības,pažeidžiami namų ūkiai,Schutzbedürftige Haushalte,familji vulnerabbli,gospodarstwa domowe w trudnej,famílias vulneráveis,gospodării vulnerabile,zraniteľné domácnosti,ranljiva gospodinjstva,hogares vulnerables,utsatta hushåll,hassas durumdaki haneler
bill,bill, فاتورة,сметка ,账单,račun,účet,regning,rekening,arve,lasku,rekening,Facture,Rechnung,Λογαριασμός,बिल ,Számla,Tagihan,cuntais,Bolletta,ビル,Bill,rēķins,Sąskaita,Rechnung,kont,Rachunek,Lei,Factura,Účet,Račun,Factura,Faktura,Bill
vulnerable community,vulnerable community, المجتمع الضعيف,уязвими общности ,弱势社区,ranjiva zajednica,zranitelná komunita,sårbar samfund,kwetsbare gemeenschap,haavatav ühiskond,haavoittuva yhteisö,kwetsbare gemeenschap,communauté vulnérable,schutzbedürftige Gemeinschaft,ευάλωτη κοινότητα,संवेदनशील समुदाय ,kiszolgáltatott közösség,masyarakat yang rentan,pobal atá faoi ionsaí,comunità vulnerabile,弱小社会,취약 커뮤니티,neaizsargāta kopiena,pažeidžiama bendruomenė,Schutzbedürftige Gemeinschaft,komunità vulnerabbli,wrażliwa społeczność,comunidade vulnerável,comunitate vulnerabilă,zraniteľná komunita,ranljiva skupnost,comunidad vulnerable,sårbart samhälle,savunmasız topluluk
energy cost,energy cost, تكلفة الطاقة,цена на енергията ,能源成本,trošak energije,náklady na energie,energiomkostninger,energiekosten,energiakulu,energiakustannukset,energiekosten,Coût de l'énergie,Energiekosten,Ενεργειακό κόστος,ऊर्जा लागत ,Energiaköltség,Biaya energi,costas fuinnimh,Costo dell'energia,エネルギーコスト,에너지 비용,Enerģijas izmaksas,Energijos kaina,Energiekosten,kost tal-enerġija,Koszt energii,Custo energético,Costul energiei,Náklady na energiu,Stroški energije,Coste de la energía,Energikostnad,Enerji maliyeti
excise duty,excise duty, الرسوم الإضافية,данък върху акцизите ,消费税,trošarina,spotřební daň,afgift på forbrug,accijns,aktsiis,valmistevero,accijns,Droits d'accise,Verbrauchssteuer,Ειδικός φόρος κατανάλωσης,एक्साइज ड्यूटी ,Jövedéki adó,Cukai,custam cáinithe,Accise,物品税,소비세,Akcīzes nodoklis,Akcizas,Verbrauchssteuer,dazju fuq l-esklussivitajiet,Akcyza,Imposto especial de consumo,Acciza,Spotrebná daň,Trošarina,Impuesto especial,Punktskatt,Özel tüketim vergisi
lpg,lpg, غاز البترول المسال,LPG,液化石油气,LPG,LPG,LPG,LPG,LPG,LPG,LPG,GPL,FLÜSSIGGAS,ΥΓΡΑΈΡΙΟ,एलपीजी ,PB-GÁZ,LPG,Gáis Líteartha Própaingléine,GPL,LPG,LPG,SNG,SND,Flüssiggas (LPG),LPG,LPG,GPL,GPL,LPG,LPG,GLP,GASOL,LPG
gas,gas, الغاز,газ ,燃气,plin,plyn,gas,gas,gaas,kaasu,gas,Gaz,Gas,Φυσικό αέριο,गैस ,Gáz,Gas,gás,Gas,ガス,가스,Gāze,Dujos,Gas,gass,Gaz,Gás,Gaz,Plyn,Plin,Gas,Gas,Gaz
